# FEMM Electromagnet B-field Export for LIGGGHTS DEM Lunar Dust Simulation
# Tutorial geometry: Electromagnet with M50 steel core
# Coil Current: 50 A, 500 turns Inner, -500 turns Outer
# Problem Type: Planar 2D magnetostatics
# Units: Length [cm], B-field [Tesla], Field gradient [Tesla/cm]
# The full set of B-field components and gradients (Cols 3-9) is essential for LIGGGHTS DEM.
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
X	Y	Bx	By	B_mag	dBx_dx	dBx_dy	dBy_dx	dBy_dy	dBmag_dx	dBmag_dy	A	Energy	Region
-5	-5	-0.1446553476504298	-1.163826762300956	1.172782120537226	3.716885104414653	-65.77991687603841	8.115714568986176	-4.041760636970304	-8.512197570819643	12.12443956233468	-0.002846768354862468	547261.3949011453	air
-5	-4.9	-0.6490429417468902	-1.460229362685585	1.597975760729995	2.284282617847921	5.96609534298444	0.1602501759791597	-2.655528664086837	-1.074233767867304	0.003397333509803645	-0.003937520538612956	1016015.924662757	air
-5	-4.8	-0.2908171347222374	-1.753418594553906	1.777372041407045	3.096967625330926	1.974621083957745	-0.913349378895556	-3.09218089068477	0.3943082915823564	2.727416496219118	-0.004355093892472864	1256946.603964435	air
-5	-4.7	-0.1852039957412402	-2.022331176484854	2.030793910622428	1.823214236970885	1.294378668451791	-0.5345641044852245	-2.588027859667474	0.3660632862164749	2.4591984931089	-0.004444070017706807	1640936.764473839	air
-5	-4.6	-0.09292844351380367	-2.231841544732717	2.233775363909455	1.425376740162272	0.4210961214230272	-0.006868984350427709	-1.411022915794069	-0.05243479677189401	1.392283130682616	-0.004594198828301159	1985359.388774987	air
-5	-4.5	-0.03791087108956978	-2.361986434765184	2.362290657849181	1.172479113834958	0.3964485288243985	-0.01753243816646766	-1.227899597919047	-0.00128617679291864	1.221379119830862	-0.004643758454066405	2220377.435703257	air
-5	-4.4	-0.017990782031711	-2.491104263250518	2.491169227215008	1.500342550996361	0.01878950552684569	0.08764888608621124	-1.349055761382201	-0.09848180803062813	1.34888488663618	-0.00461067083028347	2469258.749830169	air
-5	-4.3	-0.01611183147902644	-2.62600983938874	2.626059265835424	1.500342550996361	-0.003571482903463874	0.08764888608621124	-1.346388753146677	-0.09685238521660201	1.346385324404085	-0.004664644687868714	2743905.730346692	air
-5	-4.2	-0.04966695311634801	-2.751276814048919	2.751725079610067	1.227771196329061	-0.4372191428061022	0.008476520427502798	-1.064703256875688	-0.030635658040964	1.072421350889436	-0.004617163526926898	3012799.457427577	air
-5	-4.1	-0.09338886739695909	-2.857747139736491	2.859272668918755	1.227771196329061	-0.4372191428061015	0.008476520427480594	-1.064703256875665	-0.04857316161695436	1.078415542901517	-0.004743486646277082	3252904.297555882	air
-5	-4	-0.1418936599461361	-2.971354317561714	2.97474037375122	1.132113630957796	-0.5822315929154165	-0.134260522326457	-1.281086019816513	0.08010643154743663	1.307399960723443	-0.004796105258478223	3520937.175414037	air
-5	-3.9	-0.198662664619465	-3.094085164943176	3.100456395796456	1.127098613457815	-0.5651825379833066	-0.152807060015614	-1.218035204968659	0.08027387322456575	1.251746462980733	-0.005012683624032351	3824823.474190267	air
-5	-3.8	-0.2551809184177962	-3.215888685440042	3.225997107603451	1.127098613457817	-0.5651825379833053	-0.152807060015614	-1.218035204968659	0.06317316142337702	1.258925317592647	-0.005283359187670224	4140836.546064476	air
-5	-3.7	-0.3164003220018991	-3.3415140584746	3.356460243581964	1.19118146534454	-0.716677688124534	-0.05193747667746607	-1.387928321257559	-0.06058179628585594	1.449306321513286	-0.005450833784167058	4482529.487819344	air
-5	-3.6	-0.3880680908143562	-3.480306890600362	3.501875625413995	1.191181465344537	-0.7166776881245646	-0.05193747667748827	-1.387928321257625	-0.08038582440384771	1.458800022827229	-0.00585728192143406	4879345.545425816	air
-5	-3.5	-0.4617406165836861	-3.6157277892711	3.645091472529923	1.159307075973992	-0.810873779205476	0.001674169116139268	-1.229493679214988	-0.1485154784034796	1.322306410628249	-0.006249817525432123	5286606.710424448	air
-5	-3.4	-0.5563818859819453	-3.736982989544841	3.778174515185386	1.470444994043213	-1.089809895227262	-0.03721649159209584	-1.194628080335369	-0.1797300681265521	1.342091340549262	-0.006729288354966385	5679683.937892621	air
-5	-3.3	-0.6653628755046724	-3.856445797578378	3.913423302654567	1.470444994043219	-1.089809895227256	-0.03721649159205143	-1.194628080335392	-0.2133314140438032	1.362525102281546	-0.007355175441845636	6093597.911341232	air
-5	-3.2	-0.776290068257815	-3.953229877424301	4.028728426418922	1.603941449626722	-1.240838874011163	-0.08700439811104577	-0.7513451698297091	-0.2236873117142334	0.9763604421777173	-0.008015563115713609	6457971.530494912	air
-5	-3.1	-0.8610088666998278	-4.13254044106559	4.221282597218327	2.222640242998808	-0.8330126799066195	-0.609671655098154	-2.317309997438066	0.1435061026612781	2.438502598512241	-0.008858467974954142	7090045.054542983	air
-5	-3	-0.9452294114022777	-4.399103680155276	4.499507954091824	3.012244122559765	0.389565679682824	-0.3463154501420984	-3.052176329664302	-0.2942064290715521	2.902230937123806	-0.009758510727978651	8055457.080742807	air
-5	-2.9	-0.8614588846525004	-4.674575215245834	4.753289897843111	2.58858840296059	0.5509105190804775	-0.03098593623516166	-2.382220174248717	-0.4386680454392044	2.242926657456557	-0.01065875571871283	8989773.398502279	air
-5	-2.8	-0.7783399510523262	-4.879327161177999	4.941016760264377	1.919866543755455	1.024282941126586	-0.7940102228791268	-1.92177582593831	0.4816674240396948	1.736430590548494	-0.01148256418854586	9713881.348253736	air
-5	-2.7	-0.6892103867240943	-5.048787689963443	5.095612632009499	1.510721079981253	0.7662618876377314	-0.3292696135329898	-1.544839062211345	0.1219103092366108	1.427001876610274	-0.01219875186836204	10331251.91526069	air
-5	-2.6	-0.5956576409158402	-5.213644893959155	5.247561443707715	1.369171355497617	0.9137388670724223	-0.01457649941762895	-1.447486090229333	-0.1409341645254162	1.334410849790827	-0.01284084501883898	10956584.82092765	air
-5	-2.5	-0.5154578543577029	-5.332731048671052	5.357585019118157	1.13113106147551	0.6123898511702475	0.008568226045202465	-1.07152902962051	-0.1173555683699238	1.007639626404583	-0.0133941929339802	11420846.20848303	air
-5	-2.4	-0.4850291036480834	-5.437544796852816	5.459134239892512	0.9706070069359363	0.1418571824971848	0.02373457494937448	-1.034751906386244	-0.109876481275533	1.018056112619211	-0.01387346794171141	11857897.38491115	air
-5	-2.3	-0.4566365335899262	-5.534401818625883	5.553208119080223	0.8293414875465921	0.3049602884975522	-0.04207304202523687	-0.9587713927137642	-0.02626562855349155	0.9304477735502602	-0.01440689577556665	12270098.24880575	air
-5	-2.2	-0.4115652917988127	-5.627986738569367	5.64301521519534	0.7763707647298807	0.7013227150752255	-0.08715451040957056	-0.8541495930926679	0.03029890261522709	0.8007248469998095	-0.01480935655256498	12670174.10840146	air
-5	-2.1	-0.3414330202912892	-5.713401697878632	5.72359462826183	0.7556346824984461	0.6522476664623245	-0.07051436581710924	-0.814768195219262	0.02531246094659406	0.7744082848423383	-0.01522461720647965	13034605.00808183	air
